param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.06406,1.95621,0.01861,2.16155,1.46137,1.28505,0.95092,1.64548,1.70997,1.59613,1.22701,0.52713,0.1137,0.7725,0.00368,0.00223,1.87204,1.40159,0.00113,0.05578,60
0.39693,1.47542,0.01978,1.87776,1.20987,1.8708,0.88043,0.76582,1.57946,1.55364,1.4462,0.41744,0.03381,0.96759,0.05118,0.00068,2.0073,2.10821,0.00264,0.01524,61
0.20877,2.21793,0.05058,2.42179,1.47221,2.11882,0.86225,1.7612,1.68068,1.4543,1.3483,0.44459,0.08074,0.71912,0.00325,0.00396,1.68795,0.94167,0.03324,0.05284,62
0.06374,1.95413,0.0283,1.89833,1.28457,1.52238,0.5721,1.68076,1.55773,1.19321,0.88984,0.58899,0.0,0.6142,0.00278,0.00027,1.81482,1.26159,0.07278,0.005,63
0.30822,2.07164,0.00195,1.55892,1.20434,1.32774,2.25812,1.92517,2.39505,1.66143,1.20485,0.54557,0.11242,0.72406,0.02036,9e-05,1.18778,0.82908,0.05064,0.00678,64
0.28476,1.78199,0.18224,2.30848,1.0332,0.83647,1.25468,1.23827,1.95917,0.96873,1.4694,0.44912,0.19811,0.87351,0.02209,0.00073,1.59493,1.17982,0.00069,0.03236,65
0.28536,2.33686,0.01872,1.93265,1.98801,1.23627,1.10011,1.73046,1.3961,1.30609,1.21692,0.47829,0.01283,0.78646,0.00175,2e-05,2.30391,0.86268,0.00232,0.0144,66
0.11041,1.53683,0.02376,1.77784,1.38188,1.48671,0.85552,1.28199,1.6011,1.73132,1.41594,0.41412,0.16073,0.72456,0.0016,0.00233,2.08465,2.05895,0.0,0.03567,67
0.05489,1.97666,0.0031,2.04478,1.29548,1.94859,0.49751,2.13514,1.92906,1.23551,1.35581,0.54203,0.33359,0.67815,0.00154,0.0,1.9093,1.18948,0.05083,0.01603,68
0.33757,0.97271,0.00038,1.53872,0.75579,0.79028,0.54654,1.59626,1.57521,0.76478,1.52266,0.39248,0.08608,0.96172,0.04249,0.00022,1.35192,0.95406,0.00144,0.06854,69
0.13075,1.12449,0.06658,1.5284,1.09299,1.53535,0.15014,2.33437,1.93247,1.29335,1.2159,0.46112,0.01724,0.91975,0.04149,0.00696,1.93124,1.63518,7e-05,0.02306,70
0.26436,1.62433,0.02834,1.6355,1.1564,1.60424,0.72018,2.31644,1.87297,1.44886,0.95782,0.59014,0.01241,0.69813,0.04081,0.00043,1.42325,1.10148,0.09926,0.03374,71
0.33512,1.4843,0.01624,1.5655,1.38897,1.62605,0.07677,2.28065,1.1931,0.86678,1.15816,0.54295,0.13719,0.63964,0.00017,0.00343,2.04177,0.53404,0.05006,0.01811,72
0.24031,0.90013,0.08492,1.78148,0.80099,1.9285,0.01992,2.37649,2.45393,1.64822,1.12403,0.54169,0.07343,0.59475,0.00402,0.01275,1.57727,2.275,0.07253,0.0667,73
0.05709,1.0711,0.96465,2.13941,0.9222,1.56639,0.18971,2.38353,2.3153,1.61417,1.52111,0.436,0.31007,0.94992,0.12422,0.00043,1.30872,2.01795,0.11135,0.02906,74
0.09005,2.09561,0.02699,2.02385,1.2307,1.49742,1.26859,1.75438,2.42643,1.81881,1.02537,0.67477,0.29532,0.51415,0.0017,0.0322,1.77412,2.19151,0.08346,0.01323,75
0.48132,1.68638,0.0085,2.20977,1.4198,1.92653,0.8097,1.25604,1.50014,1.46618,1.61764,0.34607,0.13311,1.09125,0.08912,5e-05,1.86274,1.29615,0.00461,0.06799,76
0.19828,0.96404,0.00032,1.47822,0.73606,0.34883,0.56754,2.01682,1.78169,0.67868,1.62277,0.44672,0.3102,0.80093,0.00303,0.0009,1.30423,0.823,0.01656,0.07056,77
0.14864,2.16478,0.00283,1.80975,1.63065,1.61809,1.07492,1.41709,1.61541,2.02525,0.85313,0.63723,0.0044,0.56877,0.00169,0.00088,1.94981,2.13082,0.08698,0.01322,78
0.19067,2.01466,0.00189,2.01804,1.63547,1.45073,0.73451,2.18453,1.71281,1.28311,1.12479,0.49286,0.00163,0.75773,0.00311,8e-05,2.12587,0.9355,0.00717,0.03321,79
